dates,o,h,l,c
2019-08-26,94.68,97.07,94.68,95.88
2019-08-27,96.08,96.37,93.7,94.21
2019-08-28,95.56,95.61,93.72,95.61
2019-08-29,86.77,88.67,85.37,85.37
2019-08-30,88.28,88.28,87.13,87.58
2019-09-03,88.81,90.85,88.21,90.85
2019-09-04,91.14,91.2,89.91,89.91
2019-09-05,90.74,90.74,88.91,89.18
2019-09-06,92.38,94.54,91.64,92.16
2019-09-09,94.05,95.91,93.64,94.71
2019-09-10,94.98,95.77,94.67,95.03
2019-09-11,93.73,102.86,92.94,92.94
2019-09-12,93.04,106.75,92.44,106.75
2019-09-13,94.44,95.77,92.71,94.11
2019-09-16,100.94,103.67,100.94,102.33
2019-09-17,101.37,104.44,99.48,104.44
2019-09-18,107.57,110.56,107.13,109.14
2019-09-19,106.8,107.99,106.63,107.72
2019-09-20,109.91,113.18,109.91,113.18
2019-09-23,111.05,112.61,108.02,108.02
2019-09-24,108.88,109.13,106.39,106.39
2019-09-25,99.54,100.04,94.36,97.19
2019-09-26,100.93,100.93,95.18,99.22
2019-09-27,94.92,95.1,94.63,94.63
2019-09-30,90.76,93.79,89.0,93.79
2019-10-01,97.0,97.3,95.96,96.15
2019-10-02,97.81,98.01,95.15,95.19
2019-10-03,96.91,98.1,95.51,95.51
2019-10-04,96.69,97.91,94.25,97.91
2019-10-07,95.12,99.61,95.12,99.4
2019-10-08,101.9,102.21,101.35,101.92
2019-10-09,104.43,108.61,104.43,108.61
2019-10-10,107.89,109.98,107.89,109.98
2019-10-11,106.78,107.74,105.89,106.36
2019-10-14,107.85,109.39,107.85,109.34
2019-10-15,110.65,111.49,107.5,111.02
2019-10-16,107.27,107.38,104.7,104.7
2019-10-17,105.63,106.76,105.63,106.61
2019-10-18,106.34,106.34,104.4,104.85
2019-10-21,104.26,105.68,103.9,105.68
2019-10-22,104.38,104.73,103.93,103.93
2019-10-23,101.56,102.04,97.77,98.44
2019-10-24,98.82,99.72,98.57,99.72
2019-10-25,98.51,99.2,98.15,99.2
2019-10-28,106.36,109.15,104.17,105.44
2019-10-29,104.29,105.79,103.5,103.97
2019-10-30,103.73,103.73,101.7,102.15
2019-10-31,103.49,103.49,100.62,102.46
2019-11-01,110.27,110.27,108.37,108.37
